,No,Lat,Long,geometry,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,LEISER_WAC_SCALED,RETAIL_WAC_SCALED,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Population,Pop per Ar,HH_Units,Bachelor's,Median Inc,All Degree,Public Tra
210,210,-84.4223,37.9824,POINT (-84.42230000000001 37.9824),0.353551656,1443.275075,6.712843055,6.19e-06,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
8,8,-84.4086,37.9906,POINT (-84.40860000000001 37.9906),26.50140252,2843.954805,16.46168326,6.1430018770000006,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
47,47,-84.4113,37.9851,POINT (-84.4113 37.9851),1.523762085,2890.468806,1.2451928079999999,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
48,48,-84.4113,37.9878,POINT (-84.4113 37.9878),10.22621178,2011.8316260000001,8.415826743,1.380915458,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
88,88,-84.4141,37.9851,POINT (-84.4141 37.9851),0.332874929,1398.0741150000001,7.50328643,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
89,89,-84.4141,37.9878,POINT (-84.4141 37.9878),0.436571194,1581.025083,12.28329639,0.12473462699999999,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
129,129,-84.4168,37.9851,POINT (-84.41679999999999 37.9851),0.416525666,1654.0966640000001,8.092970913,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
130,130,-84.4168,37.9878,POINT (-84.41679999999999 37.9878),0.08810751,1192.2861560000001,19.30833891,0.025173574,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
170,170,-84.4196,37.9851,POINT (-84.4196 37.9851),0.22563774,2184.8312539999997,4.955462811,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
171,171,-84.4196,37.9878,POINT (-84.4196 37.9878),0.0,1192.2832369999999,17.6594568,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
